date,state,district,block_id,block_name,panchayat_id,panchayat_name,rainfall_mm,n_cells,mapping_method,fallback_distance_m
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195881,KOLAGANAHALLI,0.9847973585128784,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195882,KURUVALLI,1.6347556096840359,3,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195884,NEMAKALLU,1.2801542282104492,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195885,SIDDARAMPURAM,1.0569734278972687,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195886,SINGANAHALLI,1.0631423465794276,5,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195887,SREEDHARAGHATTA,1.2283705472946167,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195888,UDDEHAL,1.0971741676330566,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195889,UNTHAKAL,1.2291210345793449,3,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195891,BHAIRASAMUDRAM,0.26845191462854767,5,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195892,BHYRAVANITHIPPA,0.6918844806658839,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195893,BOMMAGANIPALLI,0.03419002331793308,3,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195894,BRAHMASAMUDRAM,0.250868022441864,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195895,ERADIKERA,0.27252471446990967,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195896,GUNDIGANIHALLI,0.6670423915437782,2,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195897,KANNEPALLI,0.22921128571033478,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195900,PALAVENKATAPURAM,0.12111546655009214,2,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195902,RAYALAPPADODDI,0.056585267186164856,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195903,S. KONDAPURAM,0.004903935361653566,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195905,VEPALAPARTHI,0.47099143266677856,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195906,WEST KODIPALLI,0.5401455163955688,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195918,B.K.SAMUDRAM,0.37002962827682495,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195919,B.KOTHAPALLI,0.25392353534698486,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195920,BOMMALATAPALLI,0.4034784503002201,5,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195921,CHEDULLA,0.2954464301198925,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195923,DANDUVARIPALLI,0.37002962827682495,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195924,DAYYALAKUNTAPALLI,0.5050547122955322,2,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195925,GOVINDAPALLI,0.27139589323550606,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195926,JANTHULUR,0.2731309235095978,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195928,KORRAPADU,0.250898152589798,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195929,NEELAMPALLI,0.2734636192399884,3,area_weighted,
