state,district,block_id,block_name,panchayat_id,panchayat_name,n_days,rainfall_mean_mm,rainfall_min_mm,rainfall_max_mm,n_wet_days,n_cells,mapping_method,fallback_distance_m
ANDHRA PRADESH,Anantapur,4692,BELUGUPPA,195871,YERRAGUDI,1,0.035912735387682915,0.035912735387682915,0.035912735387682915,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195872,BANDUR,1,1.4304544925689697,1.4304544925689697,1.4304544925689697,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195873,BOLLANAGUDDAM,1,0.9408671259880066,0.9408671259880066,0.9408671259880066,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195874,BOMMANAHAL,1,1.5355266209095642,1.5355266209095642,1.5355266209095642,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195875,D.HONNUR,1,0.8211095929145813,0.8211095929145813,0.8211095929145813,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195876,ELANJI,1,0.9605328378710637,0.9605328378710637,0.9605328378710637,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195877,GONEHAL,1,0.7377598285675049,0.7377598285675049,0.7377598285675049,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195878,GOVINDAWADA,1,0.9849021434783936,0.9849021434783936,0.9849021434783936,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195879,HARESAMUDRAM,1,1.646297574043274,1.646297574043274,1.646297574043274,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195881,KOLAGANAHALLI,1,0.9847973585128784,0.9847973585128784,0.9847973585128784,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195882,KURUVALLI,1,1.6347556096840359,1.6347556096840359,1.6347556096840359,1,3,area_weighted,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195884,NEMAKALLU,1,1.2801542282104492,1.2801542282104492,1.2801542282104492,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195885,SIDDARAMPURAM,1,1.0569734278972687,1.0569734278972687,1.0569734278972687,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195886,SINGANAHALLI,1,1.0631423465794276,1.0631423465794276,1.0631423465794276,1,5,area_weighted,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195887,SREEDHARAGHATTA,1,1.2283705472946167,1.2283705472946167,1.2283705472946167,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195888,UDDEHAL,1,1.0971741676330566,1.0971741676330566,1.0971741676330566,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4693,BOMMANAHAL,195889,UNTHAKAL,1,1.2291210345793449,1.2291210345793449,1.2291210345793449,1,3,area_weighted,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195891,BHAIRASAMUDRAM,1,0.26845191462854767,0.26845191462854767,0.26845191462854767,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195892,BHYRAVANITHIPPA,1,0.6918844806658839,0.6918844806658839,0.6918844806658839,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195893,BOMMAGANIPALLI,1,0.03419002331793308,0.03419002331793308,0.03419002331793308,0,3,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195894,BRAHMASAMUDRAM,1,0.250868022441864,0.250868022441864,0.250868022441864,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195895,ERADIKERA,1,0.27252471446990967,0.27252471446990967,0.27252471446990967,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195896,GUNDIGANIHALLI,1,0.6670423915437782,0.6670423915437782,0.6670423915437782,0,2,area_weighted,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195897,KANNEPALLI,1,0.22921128571033478,0.22921128571033478,0.22921128571033478,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195900,PALAVENKATAPURAM,1,0.12111546655009214,0.12111546655009214,0.12111546655009214,0,2,area_weighted,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195902,RAYALAPPADODDI,1,0.056585267186164856,0.056585267186164856,0.056585267186164856,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195903,S. KONDAPURAM,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195905,VEPALAPARTHI,1,0.47099143266677856,0.47099143266677856,0.47099143266677856,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4694,BRAHMASAMUDRAM,195906,WEST KODIPALLI,1,0.5401455163955688,0.5401455163955688,0.5401455163955688,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195918,B.K.SAMUDRAM,1,0.37002962827682495,0.37002962827682495,0.37002962827682495,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195919,B.KOTHAPALLI,1,0.25392353534698486,0.25392353534698486,0.25392353534698486,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195920,BOMMALATAPALLI,1,0.4034784503002201,0.4034784503002201,0.4034784503002201,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195921,CHEDULLA,1,0.2954464301198925,0.2954464301198925,0.2954464301198925,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195923,DANDUVARIPALLI,1,0.37002962827682495,0.37002962827682495,0.37002962827682495,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195924,DAYYALAKUNTAPALLI,1,0.5050547122955322,0.5050547122955322,0.5050547122955322,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195925,GOVINDAPALLI,1,0.27139589323550606,0.27139589323550606,0.27139589323550606,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195926,JANTHULUR,1,0.2731309235095978,0.2731309235095978,0.2731309235095978,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195928,KORRAPADU,1,0.250898152589798,0.250898152589798,0.250898152589798,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195929,NEELAMPALLI,1,0.2734636192399884,0.2734636192399884,0.2734636192399884,0,3,area_weighted,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195930,PASALUR,1,0.33525463654501847,0.33525463654501847,0.33525463654501847,0,6,area_weighted,
ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195932,REDDIPALLI,1,0.4243293468187284,0.4243293468187284,0.4243293468187284,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195961,CHERLOPALLI,1,1.0219485747056438,1.0219485747056438,1.0219485747056438,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195962,D.HIREHAL,1,0.9596675932407379,0.9596675932407379,0.9596675932407379,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195963,DODAGHATTA,1,0.9083406925201416,0.9083406925201416,0.9083406925201416,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195964,HULIKAL,1,0.7009670734405518,0.7009670734405518,0.7009670734405518,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195965,JAJARAKAL,1,1.0764523011759775,1.0764523011759775,1.0764523011759775,1,6,area_weighted,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195966,KADALUR,1,0.8984549825888086,0.8984549825888086,0.8984549825888086,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195968,M.HANUMAPURAM,1,0.7315621972084045,0.7315621972084045,0.7315621972084045,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195969,MADENAHALLI,1,0.8444409739265881,0.8444409739265881,0.8444409739265881,0,6,area_weighted,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195970,MALAPANAGUDI,1,1.0222876071929932,1.0222876071929932,1.0222876071929932,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195971,MALLIKETHI,1,1.0563786029815674,1.0563786029815674,1.0563786029815674,1,2,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195974,OBULAPURAM,1,1.1981805562973022,1.1981805562973022,1.1981805562973022,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195976,SOMALAPURAM,1,0.9295068979263306,0.9295068979263306,0.9295068979263306,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196007,BUDEDU,1,0.7186632249072623,0.7186632249072623,0.7186632249072623,0,3,area_weighted,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196008,GARLADINNE,1,0.6791127622127533,0.6791127622127533,0.6791127622127533,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196009,ILLURU,1,0.7629686687235627,0.7629686687235627,0.7629686687235627,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196010,KALLURU,1,0.7907504439353943,0.7907504439353943,0.7907504439353943,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196011,KAMALAPURAM,1,0.7865225672721863,0.7865225672721863,0.7865225672721863,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196012,KANAMPALLI,1,0.7087088380198543,0.7087088380198543,0.7087088380198543,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196013,KESAVAPURAM,1,0.7797839641571045,0.7797839641571045,0.7797839641571045,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196014,KOPPALAKONDA,1,0.8453153371810913,0.8453153371810913,0.8453153371810913,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196015,KOTANKA,1,0.3518174129901248,0.3518174129901248,0.3518174129901248,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196017,M.P.R. DAM,1,0.8342135548591614,0.8342135548591614,0.8342135548591614,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196018,MARTHADU,1,0.6135752201080322,0.6135752201080322,0.6135752201080322,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196019,MUKUNDAPURAM,1,0.5999056696891785,0.5999056696891785,0.5999056696891785,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196020,MUNTIMADUGU,1,0.8143027634536223,0.8143027634536223,0.8143027634536223,0,5,area_weighted,
ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196022,SIRIVARAM,1,0.7211144473514899,0.7211144473514899,0.7211144473514899,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196025,ABBEDODDI,1,1.760074200662591,1.760074200662591,1.760074200662591,1,2,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196026,BASINEPALLI,1,3.1223575426560353,3.1223575426560353,3.1223575426560353,1,2,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196027,BETHAPALLI,1,3.837841749191284,3.837841749191284,3.837841749191284,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196028,BRAMHANAPALLI,1,1.6341622019881656,1.6341622019881656,1.6341622019881656,1,3,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196029,CHERLOPALLI,1,2.1801846661787785,2.1801846661787785,2.1801846661787785,1,3,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196030,DHARMAPURAM,1,2.7712016105651855,2.7712016105651855,2.7712016105651855,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196031,ERRAGUDI,1,1.3941738605499268,1.3941738605499268,1.3941738605499268,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196032,ISSURARALLAPALLI,1,2.7989954948425293,2.7989954948425293,2.7989954948425293,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196035,KOJJEPALLI,1,2.7402071952819824,2.7402071952819824,2.7402071952819824,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196036,KOTHAPETA,1,1.9790358543395996,1.9790358543395996,1.9790358543395996,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196038,MAMADUR,1,1.3768073320388794,1.3768073320388794,1.3768073320388794,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196039,PEDDODDI,1,1.9979149103164673,1.9979149103164673,1.9979149103164673,1,2,direct_grid,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196040,RAJAPURAM,1,2.551423805073017,2.551423805073017,2.551423805073017,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196041,T.KOTHAPALLI,1,2.765214612342178,2.765214612342178,2.765214612342178,1,5,area_weighted,
